,Unnamed: 0,Source,Title,Content,Section,URL,Date
0,0,expansion,chino avanzar regulación identificar contenido hecho,país asiático estar buscar implementar medida más duro obligatorio identificar contenido generado través inteligencia artificial .,tecnologia,https://expansion.mx/tecnologia/2024/09/27/nuevo-reglamento-china-controlar-inteligencia-artificial,27/09/2024
1,1,expansion,"medio crisis , industria gaming buscar nuevo modelo negocio","despido haber marcar año videojuego , especialista apuntar ser nuevo oportunidad diversificar contenido creador independiente .",tecnologia,https://expansion.mx/tecnologia/2024/09/27/crisis-industria-gaming-busca-nuevo-modelo-negocio,27/09/2024
2,2,expansion,oracle construir centro hyperscalar nuevo león . ¿ ser funcionar ?,"samuel garcía , gobernador estado , resaltar proyecto estar enfocado ayudar empresa entidad eficientizar proceso informático .",tecnologia,https://expansion.mx/tecnologia/2024/09/26/oracle-construira-un-centro-hyperscale-en-nuevo-leon-que-es-y-como-funcionara,26/09/2024
3,3,expansion,openai planeo reestructuración ser empresa fin lucro,cambio representar oportunidad startup conseguir mayor financiación mantener desarrollo producto .,tecnologia,https://expansion.mx/tecnologia/2024/09/26/openai-planea-reestructuracion-para-ser-una-empresa-con-fines-de-lucro,26/09/2024
4,4,expansion,meta emparejar openai google carrera ia,"evento meta connect , zuckerberg presentar innovación sector presentar usuario próximo mes .",tecnologia,https://expansion.mx/tecnologia/2024/09/26/meta-empareja-a-openai-y-google-en-la-carrera-de-la-ia,26/09/2024
5,5,expansion,"inconformidad justicia mexicano , acreedor tv azteca iniciar proceso","secretaría economía informar disputa internacional méxico , impago bono tv azteca , acumular costo 150.000 dólares concepto honorario ciadi .",tecnologia,https://expansion.mx/tecnologia/2024/09/26/costo-mexico-arbitraje-acreedores-tv-azteca-eu,26/09/2024
6,6,expansion,identidad digital industria financiero : defensa arma,"biometría criptografía reducir riesgo suplantación identidad , también abrir nuevo riesgo no hacer adecuadamente .",tecnologia,https://expansion.mx/tecnologia/2024/09/26/la-identidad-digital-en-la-industria-financiera-defensa-y-arma,26/09/2024
7,7,expansion,ser juegos gratis playstation plus octubre 2024,sony presentar catálogo videojuego llegar suscripción partir estar disponible .,tecnologia,https://expansion.mx/tecnologia/2024/09/25/juegos-gratis-ps-plus-octubre-2024,26/09/2024
8,8,expansion,caso : rol caroline ellison fraude pasar 2 año presar,"exdirectora alameda research , fondo cobertura personal bankman-fried , también deber pagar multa 11.000 mdd .",tecnologia,https://expansion.mx/tecnologia/2024/09/25/caso-ftx-caroline-ellison-fraude,25/09/2024
9,9,expansion,altán red confiar gobierno sheinbaum robustecer conectividad,"carlos lermar , ceo altán , decir estar “ positivo venir próximo año ” conectividad , debido provisión internet ser eje principal claudia sheinbaum .",tecnologia,https://expansion.mx/tecnologia/2024/09/25/altan-redes-confia-sheinbaum-robustecera-conectividad,25/09/2024
10,10,expansion,"mirar murati , cto openai , dejar empresa","2024 haber ser año complicado startup inteligencia artificial , ejecutivo fundador haber renunciar .",tecnologia,https://expansion.mx/tecnologia/2024/09/25/mira-murati-cto-de-openai-deja-la-empresa,25/09/2024
11,11,expansion,telmex suspender sebog servicio resguardo información impago,"triar , división centro dato telmex , suspender servicio resguardo información gobernación impago 63.7 millón pesos .",tecnologia,https://expansion.mx/tecnologia/2024/09/25/telmex-corta-servicio-segob,25/09/2024
12,12,expansion,"meta presentar quest 3s , versión "" económico "" visor realidad mixto",meta calificar dispositivo proveedor “ experiencia increíble precio inigualable ” .,tecnologia,https://expansion.mx/tecnologia/2024/09/25/meta-quest-3s-precio-y-specs,25/09/2024
13,13,expansion,google demanda microsoft supuesto monopolio nube,"denuncia ser presentar comisión europea , anunciar google .",tecnologia,https://expansion.mx/tecnologia/2024/09/25/google-demanda-microsoft-monopolio-nube,25/09/2024
14,14,expansion,youtube lanzar nuevo herramienta ayudarte emergencia médico,"través división health , plataforma videos colaborar institución certificada , cruz roja , dar información situación urgencia .",tecnologia,https://expansion.mx/tecnologia/2024/09/25/youtube-health-nueva-herramienta-para-emergencias-medicas,25/09/2024
15,15,expansion,samsung abrir puerta : así convivir humano brazo mecánico,"comenzar planta producción refrigerador , hoy ser centro más importante samsung mundo .",tecnologia,https://expansion.mx/tecnologia/2024/09/25/samsung-abre-sus-puertas-asi-conviven-humanos-y-brazos-mecanicos,25/09/2024
16,16,expansion,ift prever publicar nuevo medida regulatoria américa móvil noviembre,regulador tener obligación revisar dos año medida regulatoria compañía controlado carlos slim verificar haber generar competencia telecomunicación .,tecnologia,https://expansion.mx/tecnologia/2024/09/24/ift-preve-publicar-nuevas-medidas-regulatorias-america-movil,24/09/2024
17,17,expansion,ift pedir 1.680 mdp presupuesto pese reforma eliminar autónomo,regulador asegurar partida solicitar hacienda ser ser aprobar año incluso más bajo tomar cuenta inflación .,tecnologia,https://expansion.mx/tecnologia/2024/09/24/ift-pedira-1-680-mdp-de-presupuesto-pese-a-reforma,24/09/2024
18,18,expansion,meta sumar voz john cenir chatbot,nuevo función audio ofrecer usuario opción seleccionar voz asistente digital .,tecnologia,https://expansion.mx/tecnologia/2024/09/24/meta-sumara-voces-como-la-de-john-cena-a-su-chatbot,24/09/2024
