Term1,Term2,Term3,TrigramFreq,BigramContextFreq,TrigramProb
🙏,🏻,🙏,16,21,0.7619047619047619
🏻,🙏,🏻,16,16,1.0
?,?,&,14,23,0.6086956521739131
$,gracias,gabygod,12,18,0.6666666666666666
$,@,5215512499392,12,15,0.8
gracias,gabygod,&,11,14,0.7857142857142857
$,zi,&,9,9,1.0
?,?,?,9,23,0.391304347826087
@,5215512499392,&,8,19,0.42105263157894735
eliminaste,este,mensaje,7,7,1.0
este,mensaje,.,7,7,1.0
mensaje,.,&,7,7,1.0
$,eliminaste,este,7,7,1.0
$,si,gabygod,6,11,0.5454545454545454
gabygod,.,&,5,5,1.0
🙏,🏻,&,5,21,0.23809523809523808
@,5215565635201,&,5,9,0.5555555555555556
$,creo,que,4,9,0.4444444444444444
$,jajajaja,&,4,5,0.8
:,(,(,4,4,1.0
.,.,.,4,7,0.5714285714285714
$,no,nos,4,27,0.14814814814814814
$,no,te,3,27,0.1111111111111111
si,gabygod,&,3,6,0.5
(,(,(,3,7,0.42857142857142855
con,el,esponjosito,3,4,0.75
$,creo,&,3,9,0.3333333333333333
⚠,️,⚠,3,4,0.75
️,⚠,️,3,3,1.0
$,jajajajajaja,&,3,3,1.0
$,@,5215565635201,3,15,0.2
$,oye,@,3,4,0.75
oye,@,5215512499392,3,3,1.0
(,(,&,3,7,0.42857142857142855
por,favor,&,3,4,0.75
.,.,&,3,7,0.42857142857142855
$,yo,tengo,3,10,0.3
$,asicierto,&,2,2,1.0
va,a,sacar,2,4,0.5
$,por,cierto,2,6,0.3333333333333333
$,por,favor,2,6,0.3333333333333333
$,neta,si,2,2,1.0
esponjosito,xd,&,2,2,1.0
$,.,&,2,2,1.0
wey,?,&,2,2,1.0
el,protocolo,&,2,6,0.3333333333333333
$,si,&,2,11,0.18181818181818182
$,y,al,2,10,0.2
$,lo,que,2,6,0.3333333333333333
y,al,final,2,2,1.0
la,metodología,",",2,3,0.6666666666666666
pero,.,.,2,2,1.0
$,pero,.,2,8,0.25
es,cierto,gabygod,2,2,1.0
gabygod,",",no,2,11,0.18181818181818182
",",gracias,gabygod,2,3,0.6666666666666666
neta,si,trabajamos,2,2,1.0
no,nos,saques,2,4,0.5
😴,😴,😴,2,3,0.6666666666666666
$,gabyyy,&,2,2,1.0
de,nlp,?,2,4,0.5
$,hny,&,2,3,0.6666666666666666
del,equipo,por,2,4,0.5
ay,kabron,&,2,2,1.0
$,ay,kabron,2,5,0.4
lo,del,esponjosito,2,3,0.6666666666666666
nos,va,a,2,3,0.6666666666666666
si,gabygod,",",2,6,0.3333333333333333
nada,xd,&,2,2,1.0
$,se,esta,2,7,0.2857142857142857
$,rzagalf,&,2,2,1.0
7,de,octubre,2,2,1.0
$,gracias,&,2,18,0.1111111111111111
$,oigan,&,2,2,1.0
no,es,cierto,2,2,1.0
que,si,no,2,3,0.6666666666666666
este,es,un,2,2,1.0
es,un,mensaje,2,4,0.5
$,espero,que,2,2,1.0
se,me,olvidó,2,4,0.5
x2,gabygod,&,2,2,1.0
$,se,me,2,7,0.2857142857142857
esponjosito,?,?,2,2,1.0
$,ya,no,2,17,0.11764705882352941
no,me,gusta,2,3,0.6666666666666666
te,apoyamos,gabygod,2,2,1.0
los,gummyboys,te,2,3,0.6666666666666666
🧐,🧐,🧐,2,3,0.6666666666666666
gabygod,:,(,2,2,1.0
tengo,la,teoría,2,2,1.0
$,lo,siento,2,6,0.3333333333333333
lo,que,nos,2,9,0.2222222222222222
$,ya,nos,2,17,0.11764705882352941
de,una,&,2,5,0.4
no,te,preocupes,2,4,0.5
a,su,madre,2,2,1.0
hola,gabygod,",",2,2,1.0
$,no,me,2,27,0.07407407407407407
@,5215512499392,hola,2,19,0.10526315789473684
$,yo,digo,2,10,0.2
$,buenas,noches,2,2,1.0
5215512499392,hola,gabygod,2,2,1.0
lo,que,esta,2,9,0.2222222222222222
te,preocupes,&,2,2,1.0
otra,pregunta,",",1,1,1.0
que,fecha,es,1,1,1.0
",",que,fecha,1,3,0.3333333333333333
",",bueno,casi,1,1,1.0
pregunta,",",que,1,1,1.0
y,volver,con,1,1,1.0
fases,y,el,1,1,1.0
$,otra,pregunta,1,1,1.0
metodología,",",bueno,1,2,0.5
y,el,diagrama,1,1,1.0
sagal,.,&,1,1,1.0
dicho,sagal,.,1,1,1.0
el,diagrama,",",1,1,1.0
fecha,es,la,1,1,1.0
quedaron,las,fases,1,1,1.0
es,la,tentativa,1,1,1.0
las,fases,y,1,1,1.0
terminarlo,y,volver,1,1,1.0
la,tentativa,pa,1,1,1.0
viernes,?,&,1,1,1.0
el,viernes,?,1,1,1.0
ya,quedaron,las,1,1,1.0
?,el,viernes,1,1,1.0
sagal,?,el,1,1,1.0
con,sagal,?,1,1,1.0
casi,xd,ya,1,1,1.0
tentativa,pa,terminarlo,1,1,1.0
bueno,casi,xd,1,1,1.0
volver,con,sagal,1,1,1.0
pa,terminarlo,y,1,1,1.0
xd,ya,quedaron,1,1,1.0
pero,ya,mañanita,1,1,1.0
diagrama,",",solo,1,1,1.0
",",solo,voy,1,2,0.5
nos,podemos,dividir,1,1,1.0
si,nos,podemos,1,1,1.0
cronograma,si,nos,1,1,1.0
el,cronograma,si,1,2,0.5
para,el,cronograma,1,2,0.5
semma,",",scrum,1,1,1.0
",",para,el,1,2,0.5
",",scrum,",",1,1,1.0
scrum,",",prototipos,1,1,1.0
metodología,",",para,1,2,0.5
",",prototipos,etc,1,1,1.0
a,la,metodología,1,2,0.5
acuerdo,a,la,1,1,1.0
de,acuerdo,a,1,1,1.0
