Term1,Term2,BigramFreq,ContextFreq,BigramProb
?,&,132,149,0.8859060402684564
$,no,116,1580,0.07341772151898734
$,pero,64,1580,0.04050632911392405
$,y,64,1580,0.04050632911392405
no,ma,53,227,0.23348017621145375
bebé,&,45,74,0.6081081081081081
$,yo,41,1580,0.025949367088607594
xd,&,40,41,0.975609756097561
$,si,38,1580,0.024050632911392405
$,es,33,1580,0.02088607594936709
$,q,30,1580,0.0189873417721519
$,ya,30,1580,0.0189873417721519
$,que,27,1580,0.01708860759493671
amigo,&,26,32,0.8125
$,te,26,1580,0.016455696202531647
ma,&,25,55,0.45454545454545453
$,gracias,25,1580,0.015822784810126583
es,que,24,109,0.22018348623853212
que,no,24,236,0.1016949152542373
$,esq,21,1580,0.013291139240506329
si,&,21,113,0.18584070796460178
$,xd,21,1580,0.013291139240506329
$,me,20,1580,0.012658227848101266
mi,amor,20,82,0.24390243902439024
$,a,18,1580,0.01139240506329114
$,la,18,1580,0.01139240506329114
$,de,18,1580,0.01139240506329114
$,porque,17,1580,0.010759493670886076
$,oigan,17,1580,0.010759493670886076
$,en,17,1580,0.010759493670886076
a,mi,17,138,0.12318840579710146
amigos,&,17,24,0.7083333333333334
$,@,17,1580,0.010759493670886076
de,la,16,194,0.08247422680412371
$,ah,15,1580,0.00949367088607595
$,hola,15,1580,0.00949367088607595
$,o,14,1580,0.008860759493670886
a,la,14,138,0.10144927536231885
$,como,14,1580,0.008860759493670886
amor,&,14,28,0.5
te,amo,14,73,0.1917808219178082
🔥,🔥,14,24,0.5833333333333334
$,el,14,1580,0.008860759493670886
creo,que,14,21,0.6666666666666666
en,la,13,100,0.13
que,te,13,236,0.05508474576271186
no,&,13,227,0.05726872246696035
no,te,13,227,0.05726872246696035
$,weno,12,1580,0.007594936708860759
$,bueno,12,1580,0.007594936708860759
si,bebé,12,113,0.10619469026548672
bebé,?,12,74,0.16216216216216217
y,me,11,113,0.09734513274336283
@,5215533980587,11,25,0.44
si,se,11,113,0.09734513274336283
en,el,11,100,0.11
chicas,&,11,29,0.3793103448275862
no,se,10,227,0.04405286343612335
vava,&,10,12,0.8333333333333334
$,pinche,10,1580,0.006329113924050633
$,se,10,1580,0.006329113924050633
),&,10,13,0.7692307692307693
mi,cielo,10,82,0.12195121951219512
pi,&,10,15,0.6666666666666666
$,chicas,10,1580,0.006329113924050633
la,vd,10,142,0.07042253521126761
$,ese,10,1580,0.006329113924050633
oigan,&,10,17,0.5882352941176471
a,las,9,138,0.06521739130434782
$,ola,9,1580,0.00569620253164557
cariño,&,9,11,0.8181818181818182
$,ay,9,1580,0.00569620253164557
❤,️,9,9,1.0
$,solo,9,1580,0.00569620253164557
️,&,9,19,0.47368421052631576
lo,de,9,61,0.14754098360655737
$,oye,9,1580,0.00569620253164557
es,el,8,109,0.07339449541284404
que,si,8,236,0.03389830508474576
y,le,8,113,0.07079646017699115
$,mmm,8,1580,0.005063291139240506
?,?,8,149,0.053691275167785234
$,vava,8,1580,0.005063291139240506
$,por,8,1580,0.005063291139240506
tarde,&,8,12,0.6666666666666666
🔥,&,8,24,0.3333333333333333
caro,&,8,12,0.6666666666666666
$,lo,8,1580,0.005063291139240506
de,las,8,194,0.041237113402061855
que,se,8,236,0.03389830508474576
$,perdón,8,1580,0.005063291139240506
