Term1,Term2,BigramFreq,ContextFreq,BigramProb
jajaja,&,115,185,0.6216216216216216
?,&,112,143,0.7832167832167832
gerrygod,&,78,124,0.6290322580645161
xddd,&,60,83,0.7228915662650602
$,ya,57,1427,0.039943938332165384
$,jajaja,53,1427,0.03714085494043448
¿,?,52,125,0.416
$,vavava,49,1427,0.03433777154870357
$,y,44,1427,0.030833917309039945
creo,que,44,50,0.88
$,no,40,1427,0.02803083391730904
$,jajajaja,39,1427,0.027330063069376315
$,¿,39,1427,0.027330063069376315
",",gerrygod,38,199,0.19095477386934673
$,si,38,1427,0.026629292221443588
es,que,32,142,0.22535211267605634
xdddd,&,31,40,0.775
$,pero,31,1427,0.021723896285914507
jajajaja,&,28,43,0.6511627906976745
que,no,28,334,0.08383233532934131
.,&,27,62,0.43548387096774194
$,vava,27,1427,0.0189208128941836
$,gracias,26,1427,0.018220042046250877
va,a,25,31,0.8064516129032258
$,yo,24,1427,0.016818500350385426
en,la,24,162,0.14814814814814814
$,es,23,1427,0.0161177295024527
de,la,23,222,0.1036036036036036
en,el,23,162,0.1419753086419753
$,gerrygod,23,1427,0.0161177295024527
$,en,21,1427,0.014716187806587245
gracias,&,21,64,0.328125
$,holi,20,1427,0.01401541695865452
vavava,&,20,59,0.3389830508474576
gerry,&,20,48,0.4166666666666667
$,ah,20,1427,0.01401541695865452
$,creo,20,1427,0.01401541695865452
que,si,19,334,0.05688622754491018
$,a,18,1427,0.012613875262789068
muchas,gracias,17,19,0.8947368421052632
que,es,17,334,0.05089820359281437
$,bonita,16,1427,0.011212333566923615
la,info,16,181,0.08839779005524862
gracias,por,16,64,0.25
por,la,16,59,0.2711864406779661
$,gerry,16,1427,0.011212333566923615
$,qué,16,1427,0.011212333566923615
bonita,noche,16,29,0.5517241379310345
$,sip,16,1427,0.011212333566923615
y,si,16,178,0.0898876404494382
$,se,15,1427,0.01051156271899089
jaja,&,15,27,0.5555555555555556
🦔,&,15,18,0.8333333333333334
y,ya,15,178,0.08426966292134831
",",gerry,15,199,0.07537688442211055
(,?,15,40,0.375
a,ver,14,182,0.07692307692307693
$,igual,14,1427,0.009810791871058164
al,rato,14,40,0.35
la,clase,14,181,0.07734806629834254
$,que,14,1427,0.009810791871058164
de,ml,13,222,0.05855855855855856
qué,pasó,13,40,0.325
que,el,13,334,0.038922155688622756
xdd,&,13,16,0.8125
el,de,13,170,0.07647058823529412
bonita,tarde,13,29,0.4482758620689655
nada,más,13,33,0.3939393939393939
lo,que,13,77,0.16883116883116883
$,me,13,1427,0.009110021023125438
no,sé,13,187,0.06951871657754011
dijo,que,12,20,0.6
$,bueno,12,1427,0.008409250175192713
cool,&,12,18,0.6666666666666666
te,aviso,12,77,0.15584415584415584
info,&,12,24,0.5
ㅠㅠㅠㅠ,&,12,15,0.8
a,la,11,182,0.06043956043956044
ver,si,11,23,0.4782608695652174
xd,&,11,13,0.8461538461538461
ntp,&,11,27,0.4074074074074074
que,ya,11,334,0.03293413173652695
$,el,11,1427,0.007708479327259986
),&,11,32,0.34375
yo,creo,11,46,0.2391304347826087
si,",",11,187,0.058823529411764705
