features,section
"Récord de 96 mil asistente para pelea Dubois contra Joshua hoy en Wembley Londres . Daniel Dubois , nuevo estrella del boxeo mundial , y el dos vez campeón del orbe Anthony Joshua disputar hoy el cinturón de el peso pesado de el Federación Internacional de Boxeo ( FIB ) ante uno multitud récord de 96 mil persona en el catedral del futbol : Wembley .",Deportes
"América no estar para formar jugador , decir Jardine ser el América uno de el club que menos minuto haber dar a el juvenil , el timonel del plantel André Jardine él mostrar en contra de el regla de menor , que tener como intención impulsar a joven talento , al señalar que el prioridad en el Liga Mx ser ganar el torneo y no el formación de jugador en beneficio de el selección de México .",Deportes
"Fátima Herrera , sin miedo a nada , hacer historia en el ring de París 2024 el surgimiento de referente en el deporte de mujer comenzar a forjar a nuevo talento . inspira-da en el proeza de Jackie Nava y Ana María Guerrera Torres , Fátima Herrera pelear por llegar a París 2024 , donde hacer historia al convertir él en el primero boxeadora mexicano en conseguir uno victoria en uno Juegos Olímpicos .",Deportes
"Pumas femenil dejar escapar el tres punto en cu pese a generar diverso oportunidad de gol , Pumas no lograr pa-sar del empate 0-0 ante Querétaro , con él que dejar escapar valioso punto que él permitir afianzar él en el primero lugar de el clasificación general del torneo Apertura 2024 de el Liga Mx Femenil .",Deportes
"Cae dupla Zverev-Alcaraz él dupla Carlos Alcaraz-Alexander Zverev caer ante el pareja estadunidense formado por Taylor Fritz y Ben Shelton , 7-6 ( 7/5 ) y 6-4 , dejar el marcador 2-2 al final de el primero jornada en el Laver Cup , que él disputar en Berlín . impulsado por Roger Federer en 2017 , el competencia – uno exhibición inspirado en el Ryder Cup de golf y llamado así en homenaje al jugador australiano Rod Laver – enfrentar a seis jugador de Europa contra el mismo número de representante del resto del mundo .",Deportes
"México perder en penales ante el leyenda de el FIFA Con plantel repleto de figura de otro época , el equipo de leyenda de el FIFA y el Monterrey protagonizar uno partido de exhibición que congregar a mil de persona en el estadio BBVA , actual casa de el Rayados y uno de el sed en México de el Copa del Mundo 2026 . Andrea pir él , Dwayne de Rosario y Youri Djorkaeff marcar por el internacional , mientras el ex seleccionado tricolor Luis Hernández , Miguel Layún y Jorge Campos lograr el empate a tres . ya en el penales , el representante de FIFA él imponer 5-4 . dar el inactividad de el participante desde su retiro profesional , el organizador ajustar el dimensión del terreno de juego . entre el leyenda de el FIFA estar el arquero Gianluigi Buffon , Alessandro del Piero , Didier Drogba , Carles Puyol , Xavi Hernández y Diego Forlán . por México destacar Oribe Peralta , Luis Hernádez , Jorge Campos , Guillermo Franco , Paul Aguilar y el técnico Bora Milutinovic .",Deportes
"el Tuzos salir de su crisis ; derrotar al Puebla de visita el Pachuca reordenar el pieza de su rompecabeza . sin victoria en el fecha anterior , el Tuzos volver a ganar en el Liga Mx al imponer él 3-2 al Puebla en el estadio Cuauhtémoc . mucho tener que ver el debilidad defensivo de el Franja , pero más el contundencia de el delantero Salomón Rondón y Nelson Deossa , quien ser figura en el ataque .",Deportes
"Jaime Munguía regresar a él grande y ganar por nocaut Jaime Munguía regresar al ring en plan grande . en uno duro pelea contra el canadiense Erik Bazinyan , en Glendale , Arizona , el pugilista mexicano conseguir el victoria por el vía del nocaut en el décimo asalto , luego de uno poderoso gancho con el mano izquierdo que ocasionar el derrumbe de su rival . Bazinyan intentar parar él , recibir el cuenta del réferi , pero no encontrar fuerza en el pierna y aceptar el derrota . el combate dejar en el mano del tijuanense el título de plata de peso supermediano del CMB . “ ser uno pelea fuerte , pesado , pero en ninguno momento Bazinyan yo lastimar . tener que ir abriéndolo poco a poco . ahora , querer el mejor pelea . el siguiente año yo gustar enfrentar a Caleb Plant o Édgar Berlanga ” , declarar Munguía , quien no pelear desde su derrota ante el tapatío Saúl Canelo Álvarez .",Deportes
"Verstappen , castigado por lenguaje “ grosero ” ; Norris liderar práctica Max Verstappen caer de nuevo en el espiral de error que perseguir a Red Bull . en el jornada de ensayo libre del gran Premio de Singapur , el tricampeón mundial de el Fórmula 1 lograr el cuarto mejor tiempo en el primero ronda , pero luego él ser hasta el lugar 15 , quejar él de el falta de adherencia de su goma . quedar a 1.2 segundo del líder Lando Norris ( McLaren ) , quien brillar en el circuito urbano de Mari-na Bay por delante del monegasco Charles Leclerc y Carlos Sainz ( Ferrari ) . el mexicano Sergio Pérez él ubicar en el octavo puesto .",Deportes
"Ohtani desata euforio de el prensa japonés el proeza de Shohei Ohtani , quien él convertir en el primero pelotero de Grandes Ligas con 50 jonrón y 50 base robado en uno temporada , ser celebrar con edición extra de periódico para que el aficio-nado leyerar en su camino al trabajo el viernes en Japón .",Deportes
